C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
 219:            21            504  sun.reflect.generics.factory.CoreReflectionFactory (java.base@15)
 220:             9            504  sun.security.mscapi.SunMSCAPI$ProviderServiceA (jdk.crypto.mscapi@15)
 221:             7            496  [Lsun.invoke.util.Wrapper; (java.base@15)
 222:            12            480  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@15)
 223:            12            480  java.util.IdentityHashMap (java.base@15)
 224:            19            456  java.lang.Class$AnnotationData (java.base@15)
 225:            19            456  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@15)
 226:            25            448  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@15)
 227:            14            448  java.net.InetAddress$InetAddressHolder (java.base@15)
 228:             8            448  sun.management.MemoryPoolImpl (java.management@15)
 229:            20            440  [Ljavax.management.MBeanNotificationInfo; (java.management@15)
 230:            11            440  java.lang.OutOfMemoryError (java.base@15)
 231:            11            440  sun.nio.fs.WindowsPath (java.base@15)
 232:             1            432  [[[C (java.base@15)
 233:             9            432  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@15)
 234:            27            432  java.security.spec.ECFieldFp (java.base@15)
 235:             9            432  java.util.Hashtable (java.base@15)
 236:            18            432  javax.management.StandardMBean (java.management@15)
 237:             3            432  jdk.internal.reflect.MethodAccessorGenerator (java.base@15)
 238:            18            432  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@15)
 239:            18            432  sun.reflect.generics.scope.MethodScope (java.base@15)
 240:             9            424  [Ljava.util.Hashtable$Entry; (java.base@15)
 241:            13            416  sun.security.jca.ProviderConfig (java.base@15)
 242:            17            408  sun.nio.ch.OptionKey (java.base@15)
 243:             7            392  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@15)
 244:             7            392  java.nio.HeapByteBuffer (java.base@15)
 245:             7            392  java.util.Properties (java.base@15)
 246:            12            384  java.lang.invoke.VarHandle$AccessDescriptor (java.base@15)
 247:             6            384  java.util.stream.ReferencePipeline$3 (java.base@15)
 248:            12            384  jdk.internal.reflect.ClassFileAssembler (java.base@15)
 249:            12            384  jdk.jfr.internal.LogTag (jdk.jfr@15)
 250:            22            376  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@15)
 251:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 252:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@15)
 253:             1            376  java.util.logging.LogManager$Cleaner (java.logging@15)
 254:             1            376  jdk.internal.misc.InnocuousThread (java.base@15)
 255:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@15)
 256:             9            360  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@15)
 257:             9            360  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@15)
 258:             8            352  [Ljava.lang.invoke.MethodType; (java.base@15)
 259:            11            352  java.util.Collections$UnmodifiableMap (java.base@15)
 260:            22            352  java.util.concurrent.locks.ReentrantLock (java.base@15)
 261:             4            352  java.util.regex.Pattern (java.base@15)
 262:            11            352  org.postgresql.core.NativeQuery
 263:             7            336  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@15)
 264:             6            336  java.nio.DirectLongBufferU (java.base@15)
 265:            14            336  java.security.Permissions (java.base@15)
 266:             6            336  java.util.stream.ReferencePipeline$Head (java.base@15)
 267:            14            336  org.postgresql.core.ServerVersion
 268:             3            336  sun.security.provider.HashDrbg (java.base@15)
 269:            21            336  sun.util.logging.internal.LoggingProviderImpl$JULWrapper (java.logging@15)
 270:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@15)
 271:             3            328  [Z (java.base@15)
 272:             8            320  java.lang.invoke.DirectMethodHandle$Interface (java.base@15)
 273:             8            320  java.net.Socket (java.base@15)
 274:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@15)
 275:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@15)
 276:            17            312  [Ljavax.management.MBeanConstructorInfo; (java.management@15)
